username,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,danceability
sheepran,0.896,1,-4.267,0,0.0437,0.0773,8.87E-05,0.091,0.641,124.978,audio_features,1RvQQGwaPipiNgz8RXAKA8,spotify:track:1RvQQGwaPipiNgz8RXAKA8,https://api.spotify.com/v1/tracks/1RvQQGwaPipiNgz8RXAKA8,https://api.spotify.com/v1/audio-analysis/1RvQQGwaPipiNgz8RXAKA8,220827,4,0.602
sheepran,0.513,5,-6.757,1,0.0872,0.392,0,0.0642,0.813,153.934,audio_features,1XcXhu1X0xBFMDFyq0b7Ue,spotify:track:1XcXhu1X0xBFMDFyq0b7Ue,https://api.spotify.com/v1/tracks/1XcXhu1X0xBFMDFyq0b7Ue,https://api.spotify.com/v1/audio-analysis/1XcXhu1X0xBFMDFyq0b7Ue,158571,4,0.776
sheepran,0.557,11,-4.917,0,0.203,0.169,0,0.0671,0.623,89.672,audio_features,1byScELwcJffsdL5QWa6Yk,spotify:track:1byScELwcJffsdL5QWa6Yk,https://api.spotify.com/v1/tracks/1byScELwcJffsdL5QWa6Yk,https://api.spotify.com/v1/audio-analysis/1byScELwcJffsdL5QWa6Yk,171096,4,0.633
sheepran,0.832,10,-4.848,1,0.036,0.332,0,0.104,0.481,144.926,audio_features,22PMfvdz35fFKYnJyMn077,spotify:track:22PMfvdz35fFKYnJyMn077,https://api.spotify.com/v1/tracks/22PMfvdz35fFKYnJyMn077,https://api.spotify.com/v1/audio-analysis/22PMfvdz35fFKYnJyMn077,230120,4,0.62
sheepran,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,audio_features,2g7uRZ68eLtv74XrxgdT2q,spotify:track:2g7uRZ68eLtv74XrxgdT2q,https://api.spotify.com/v1/tracks/2g7uRZ68eLtv74XrxgdT2q,https://api.spotify.com/v1/audio-analysis/2g7uRZ68eLtv74XrxgdT2q,207333,4,0.715
sheepran,0.492,1,-5.69,0,0.038,0.251,0,0.262,0.895,115.092,audio_features,2pJZ1v8HezrAoZ0Fhzby92,spotify:track:2pJZ1v8HezrAoZ0Fhzby92,https://api.spotify.com/v1/tracks/2pJZ1v8HezrAoZ0Fhzby92,https://api.spotify.com/v1/audio-analysis/2pJZ1v8HezrAoZ0Fhzby92,237333,4,0.838
sheepran,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,audio_features,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/tracks/2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5,208187,4,0.613
sheepran,0.499,4,-6.216,1,0.0581,0.126,0,0.214,0.521,79.071,audio_features,3F8xLc6T4VvKH7I6wqVAN2,spotify:track:3F8xLc6T4VvKH7I6wqVAN2,https://api.spotify.com/v1/tracks/3F8xLc6T4VvKH7I6wqVAN2,https://api.spotify.com/v1/audio-analysis/3F8xLc6T4VvKH7I6wqVAN2,220693,4,0.597
sheepran,0.749,6,-4.951,0,0.032,0.461,1.82E-06,0.205,0.501,125.986,audio_features,3G5iN5QBqMeXx3uZPy8tgB,spotify:track:3G5iN5QBqMeXx3uZPy8tgB,https://api.spotify.com/v1/tracks/3G5iN5QBqMeXx3uZPy8tgB,https://api.spotify.com/v1/audio-analysis/3G5iN5QBqMeXx3uZPy8tgB,228720,4,0.561
sheepran,0.651,11,-5.128,1,0.0276,0.0754,0,0.0562,0.299,99.036,audio_features,3GQnWBLRh9GiaP34RlbTbK,spotify:track:3GQnWBLRh9GiaP34RlbTbK,https://api.spotify.com/v1/tracks/3GQnWBLRh9GiaP34RlbTbK,https://api.spotify.com/v1/audio-analysis/3GQnWBLRh9GiaP34RlbTbK,227227,4,0.653
